"","scenario","sector","technology","subsector","Units","USREP_region","year","invest","PercentChangeFromCPOL"
"1","Current Policies","resid heating","coal furnace","coal","Billions 1975$","AK-HI","2020",0,NA
"2","Current Policies","resid heating","coal furnace","coal","Billions 1975$","AK-HI","2025",0,NA
"3","Current Policies","resid heating","coal furnace","coal","Billions 1975$","AK-HI","2030",0,NA
"4","Current Policies","resid heating","coal furnace","coal","Billions 1975$","AK-HI","2035",0,NA
"5","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Appalachia","2020",0,NA
"6","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Appalachia","2025",0,NA
"7","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Appalachia","2030",0,NA
"8","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Appalachia","2035",0,NA
"9","Current Policies","resid heating","coal furnace","coal","Billions 1975$","GulfCoast","2020",0,NA
"10","Current Policies","resid heating","coal furnace","coal","Billions 1975$","GulfCoast","2025",0,NA
"11","Current Policies","resid heating","coal furnace","coal","Billions 1975$","GulfCoast","2030",0,NA
"12","Current Policies","resid heating","coal furnace","coal","Billions 1975$","GulfCoast","2035",0,NA
"13","Current Policies","resid heating","coal furnace","coal","Billions 1975$","MidA","2020",0,NA
"14","Current Policies","resid heating","coal furnace","coal","Billions 1975$","MidA","2025",0,NA
"15","Current Policies","resid heating","coal furnace","coal","Billions 1975$","MidA","2030",0,NA
"16","Current Policies","resid heating","coal furnace","coal","Billions 1975$","MidA","2035",0,NA
"17","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midcontinent","2020",0,NA
"18","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midcontinent","2025",0,NA
"19","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midcontinent","2030",0,NA
"20","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midcontinent","2035",0,NA
"21","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midwest","2020",0,NA
"22","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midwest","2025",0,NA
"23","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midwest","2030",0,NA
"24","Current Policies","resid heating","coal furnace","coal","Billions 1975$","Midwest","2035",0,NA
"25","Current Policies","resid heating","coal furnace","coal","Billions 1975$","NewEngland","2020",0,NA
"26","Current Policies","resid heating","coal furnace","coal","Billions 1975$","NewEngland","2025",0,NA
"27","Current Policies","resid heating","coal furnace","coal","Billions 1975$","NewEngland","2030",0,NA
"28","Current Policies","resid heating","coal furnace","coal","Billions 1975$","NewEngland","2035",0,NA
"29","Current Policies","resid heating","coal furnace","coal","Billions 1975$","PacificNorthwest","2020",0,NA
"30","Current Policies","resid heating","coal furnace","coal","Billions 1975$","PacificNorthwest","2025",0,NA
"31","Current Policies","resid heating","coal furnace","coal","Billions 1975$","PacificNorthwest","2030",0,NA
"32","Current Policies","resid heating","coal furnace","coal","Billions 1975$","PacificNorthwest","2035",0,NA
"33","Current Policies","resid heating","coal furnace","coal","Billions 1975$","RockiesCentral","2020",0,NA
