state,r
AK,AK-HI
HI,AK-HI
OH,Appalachia
TN,Appalachia
WV,Appalachia
KY,Appalachia
PA,Appalachia
TX,GulfCoast
LA,GulfCoast
MD,MidA
NC,MidA
VA,MidA
DE,MidA
NJ,MidA
DC,MidA
IA,Midcontinent
OK,Midcontinent
NE,Midcontinent
SD,Midcontinent
MO,Midcontinent
KS,Midcontinent
AR,Midcontinent
ND,Midcontinent
WI,Midwest
IL,Midwest
MI,Midwest
MN,Midwest
IN,Midwest
RI,NewEngland
NH,NewEngland
CT,NewEngland
ME,NewEngland
MA,NewEngland
VT,NewEngland
NY,NewEngland
WA,PacificNorthwest
OR,PacificNorthwest
NM,RockiesCentral
ID,RockiesCentral
UT,RockiesCentral
MT,RockiesCentral
WY,RockiesCentral
CO,RockiesCentral
FL,SouthAtlantic
GA,SouthAtlantic
MS,SouthAtlantic
AL,SouthAtlantic
SC,SouthAtlantic
AZ,West
CA,West
NV,West
