"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"1","Current Policies","biomass","Billions 1975$","AK-HI","2020",NA,NA
"2","Current Policies","biomass","Billions 1975$","AK-HI","2025",NA,NA
"3","Current Policies","biomass","Billions 1975$","AK-HI","2030",NA,NA
"4","Current Policies","biomass","Billions 1975$","AK-HI","2035",NA,NA
"5","Current Policies","biomass","Billions 1975$","Appalachia","2020",NA,NA
"6","Current Policies","biomass","Billions 1975$","Appalachia","2025",NA,NA
"7","Current Policies","biomass","Billions 1975$","Appalachia","2030",NA,NA
"8","Current Policies","biomass","Billions 1975$","Appalachia","2035",NA,NA
"9","Current Policies","biomass","Billions 1975$","GulfCoast","2020",NA,NA
"10","Current Policies","biomass","Billions 1975$","GulfCoast","2025",NA,NA
"11","Current Policies","biomass","Billions 1975$","GulfCoast","2030",NA,NA
"12","Current Policies","biomass","Billions 1975$","GulfCoast","2035",NA,NA
"13","Current Policies","biomass","Billions 1975$","MidA","2020",NA,NA
"14","Current Policies","biomass","Billions 1975$","MidA","2025",NA,NA
"15","Current Policies","biomass","Billions 1975$","MidA","2030",NA,NA
"16","Current Policies","biomass","Billions 1975$","MidA","2035",NA,NA
"17","Current Policies","biomass","Billions 1975$","Midcontinent","2020",NA,NA
"18","Current Policies","biomass","Billions 1975$","Midcontinent","2025",NA,NA
"19","Current Policies","biomass","Billions 1975$","Midcontinent","2030",NA,NA
"20","Current Policies","biomass","Billions 1975$","Midcontinent","2035",NA,NA
"21","Current Policies","biomass","Billions 1975$","Midwest","2020",NA,NA
"22","Current Policies","biomass","Billions 1975$","Midwest","2025",NA,NA
"23","Current Policies","biomass","Billions 1975$","Midwest","2030",NA,NA
"24","Current Policies","biomass","Billions 1975$","Midwest","2035",NA,NA
"25","Current Policies","biomass","Billions 1975$","NewEngland","2020",NA,NA
"26","Current Policies","biomass","Billions 1975$","NewEngland","2025",NA,NA
"27","Current Policies","biomass","Billions 1975$","NewEngland","2030",NA,NA
"28","Current Policies","biomass","Billions 1975$","NewEngland","2035",NA,NA
"29","Current Policies","biomass","Billions 1975$","PacificNorthwest","2020",NA,NA
