scenario,region,sector,subsector,input,technology,vintage,Units,1990,2005,2010,2015,2020,2025,2030,2035
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,1990,EJ,0.0012773,0,0,0,0,0,0,0
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2005,EJ,0,0.000995404,0,0,0,0,0,0
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2010,EJ,0,0,0.00217551,0,0,0,0,0
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2015,EJ,0,0,0,0.0048165,0.00414981,0.0037178,0.00312026,0.00240825
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2020,EJ,0,0,0,0,9.47E-05,8.72E-05,7.75E-05,6.04E-05
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2025,EJ,0,0,0,0,0,4.93E-05,4.54E-05,4.04E-05
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2030,EJ,0,0,0,0,0,0,8.60E-05,7.91E-05
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2035,EJ,0,0,0,0,0,0,0,0.000562031
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2040,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2045,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,biomass,delivered biomass,wood furnace,2050,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,coal,delivered coal,coal furnace,1990,EJ,0.00406609,0,0,0,0,0,0,0
Current Policies,AK,resid heating,coal,delivered coal,coal furnace,2005,EJ,0,0.000533802,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,1990,EJ,0.0022016,0,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2005,EJ,0,0.00136821,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2010,EJ,0,0,0.00184311,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2015,EJ,0,0,0,0.0022501,0.00193865,0.00173682,0.00145767,0.00112505
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2020,EJ,0,0,0,0,1.87E-05,1.72E-05,1.53E-05,1.19E-05
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2025,EJ,0,0,0,0,0,1.06E-06,9.78E-07,8.70E-07
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2030,EJ,0,0,0,0,0,0,1.77E-06,1.63E-06
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2035,EJ,0,0,0,0,0,0,0,3.47E-05
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2040,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2045,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric furnace,2050,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,1990,EJ,0.000695299,0,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2005,EJ,0,0.000432002,0,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2010,EJ,0,0,0.000582003,0,0,0,0,0
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2015,EJ,0,0,0,0.0007106,0.000612241,0.000548503,0.000460346,0.0003553
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2020,EJ,0,0,0,0,0.000328063,0.000302045,0.000268645,0.000209237
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2025,EJ,0,0,0,0,0,0.000964917,0.000888392,0.000790155
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2030,EJ,0,0,0,0,0,0,0.00124054,0.00114215
Current Policies,AK,resid heating,electricity,elect_td_bld,electric heat pump,2035,EJ,0,0,0,0,0,0,0,0.000937055
