scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Current Policies,AK,elect_td_bld,1975$/GJ,15.166,15.917,16.3325,14.7807,8.5127,9.2205,9.81787,12.0853
Current Policies,AL,elect_td_bld,1975$/GJ,15.1924,13.5532,13.4677,12.0235,7.83138,7.65001,7.88929,8.5961
Current Policies,Alaska grid,delivered gas,1975$/GJ,3.51323,4.58046,4.5894,3.68638,3.40321,3.71929,3.48399,3.7512
Current Policies,Alaska grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,AR,elect_td_bld,1975$/GJ,15.1924,13.5532,13.4677,12.0235,7.83221,7.65153,7.89201,8.59919
Current Policies,AZ,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.38423,6.79497,7.11547,7.77366
Current Policies,CA,elect_td_bld,1975$/GJ,14.6445,14.1611,13.8952,11.9167,8.19076,7.63395,7.86061,8.6362
Current Policies,California grid,delivered gas,1975$/GJ,2.87453,3.94176,3.9507,3.04768,2.76451,3.08059,2.84529,3.1125
Current Policies,California grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Central East grid,delivered gas,1975$/GJ,2.40803,3.47526,3.4842,2.58118,2.29801,2.61409,2.37879,2.646
Current Policies,Central East grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Central Northeast grid,delivered gas,1975$/GJ,2.70913,3.77636,3.7853,2.88228,2.59911,2.91519,2.67989,2.9471
Current Policies,Central Northeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Central Northwest grid,delivered gas,1975$/GJ,2.26243,3.32966,3.3386,2.43558,2.15241,2.46849,2.23319,2.5004
Current Policies,Central Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Central Southwest grid,delivered gas,1975$/GJ,2.23593,3.30316,3.3121,2.40908,2.12591,2.44199,2.20669,2.4739
Current Policies,Central Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
