scenario,region,sector,subsector,technology,Units,1990,2005,2010,2015,2020,2025,2030,2035
Enhanced Ambition,AK,resid heating,biomass,wood furnace,1975$/GJ,5.231,5.2048,5.26862,5.27664,5.07287,4.83918,5.132460054,5.157460054
Enhanced Ambition,AK,resid heating,coal,coal furnace,1975$/GJ,4.94501,4.81255,5.09507,5.23042,5.19382,5.16839,5.167931456,5.178131456
Enhanced Ambition,AK,resid heating,electricity,electric furnace,1975$/GJ,15.3199,16.0763,16.4971,14.9294,8.75888,9.4017,10.46,12.823
Enhanced Ambition,AK,resid heating,electricity,electric heat pump,1975$/GJ,6.71687,7.04853,7.23301,5.5294,3.24403,3.48211,3.78348,4.6382
Enhanced Ambition,AK,resid heating,gas,gas furnace,1975$/GJ,4.50414,5.87239,5.88384,4.60798,4.25741,4.64349,4.295219756,4.074989756
Enhanced Ambition,AK,resid heating,gas,gas furnace hi-eff,1975$/GJ,3.58493,4.67394,4.68306,3.76161,3.47544,3.7906,3.506304495,3.326524495
Enhanced Ambition,AK,resid heating,refined liquids,fuel furnace,1975$/GJ,4.86784,5.13673,8.21302,8.18179,5.85941,7.16652,6.420473244,7.164283244
Enhanced Ambition,AK,resid heating,refined liquids,fuel furnace hi-eff,1975$/GJ,4.01471,4.23648,6.77363,7.00091,5.01372,6.13218,5.493808652,6.130258652
Enhanced Ambition,AK,resid hot water,electricity,electric heat pump water heater,1975$/GJ,7.58334,7.95779,8.16607,6.42612,3.77012,4.04682,4.22669,5.18154
Enhanced Ambition,AK,resid hot water,electricity,electric resistance water heater,1975$/GJ,16.965,17.8027,18.2686,16.4223,9.63476,10.3419,11.506,14.1053
Enhanced Ambition,AK,resid hot water,electricity,electric resistance water heater hi-eff,1975$/GJ,15.9649,16.7532,17.1917,15.558,9.03259,9.6955,10.7869,13.2237
Enhanced Ambition,AK,resid hot water,gas,gas water heater,1975$/GJ,5.95462,7.7635,7.77864,5.94578,5.49343,5.9916,5.542226459,5.258056459
Enhanced Ambition,AK,resid hot water,gas,gas water heater hi-eff,1975$/GJ,4.28442,5.58593,5.59682,4.49559,4.15357,4.53023,4.190461713,3.975601713
Enhanced Ambition,AK,resid hot water,refined liquids,fuel water heater,1975$/GJ,6.60046,6.96505,11.1363,10.953,7.84404,9.59389,8.595157085,9.590897085
Enhanced Ambition,AK,resid hot water,refined liquids,fuel water heater hi-eff,1975$/GJ,4.74911,5.01144,8.01271,8.28156,5.93086,7.25392,6.498771942,7.251651942
Enhanced Ambition,AL,resid heating,biomass,wood furnace,1975$/GJ,5.231,5.2048,5.26862,5.27664,5.07287,4.83918,5.132460054,5.157460054
Enhanced Ambition,AL,resid heating,coal,coal furnace,1975$/GJ,1.93376,1.8013,2.08382,2.21917,2.18257,2.15714,2.156681456,2.166881456
Enhanced Ambition,AL,resid heating,electricity,electric furnace,1975$/GJ,15.3459,13.6899,13.6037,12.1448,8.02642,7.84857,8.28718,8.84463
Enhanced Ambition,AL,resid heating,electricity,electric heat pump,1975$/GJ,6.72827,6.00221,5.96441,4.49807,2.97275,2.90688,2.99756,3.19919
Enhanced Ambition,AL,resid heating,gas,gas furnace,1975$/GJ,2.82837,4.19662,4.20807,2.9741,2.62354,3.00962,2.661349756,2.441119756
Enhanced Ambition,AL,resid heating,gas,gas furnace hi-eff,1975$/GJ,2.25115,3.34017,3.34928,2.42784,2.14166,2.45683,2.172534495,1.992744495
Enhanced Ambition,AL,resid heating,refined liquids,fuel furnace,1975$/GJ,4.07784,4.34673,7.42302,7.42034,5.09796,6.40507,5.659033244,6.402833244
Enhanced Ambition,AL,resid heating,refined liquids,fuel furnace hi-eff,1975$/GJ,3.36317,3.58493,6.12208,6.34936,4.36217,5.48063,4.842258652,5.478718652
Enhanced Ambition,AL,resid hot water,electricity,electric heat pump water heater,1975$/GJ,7.59621,6.7765,6.73382,5.22754,3.45485,3.3783,3.3487,3.57395
Enhanced Ambition,AL,resid hot water,electricity,electric resistance water heater,1975$/GJ,16.9938,15.16,15.0645,13.3593,8.82906,8.63342,9.1159,9.7291
Enhanced Ambition,AL,resid hot water,electricity,electric resistance water heater hi-eff,1975$/GJ,15.992,14.2663,14.1765,12.6562,8.27724,8.09384,8.54615,9.12103
Enhanced Ambition,AL,resid hot water,gas,gas water heater,1975$/GJ,3.7392,5.54807,5.56321,3.83755,3.38521,3.88338,3.433996459,3.149826459
Enhanced Ambition,AL,resid hot water,gas,gas water heater hi-eff,1975$/GJ,2.6904,3.99191,4.0028,2.90156,2.55955,2.93621,2.596441713,2.381571713
Enhanced Ambition,AL,resid hot water,refined liquids,fuel water heater,1975$/GJ,5.52927,5.89387,10.0651,9.93368,6.82469,8.57453,7.575797085,8.571537085
Enhanced Ambition,AL,resid hot water,refined liquids,fuel water heater hi-eff,1975$/GJ,3.97838,4.24071,7.24197,7.51083,5.16013,6.48318,5.728041942,6.480921942
Enhanced Ambition,AR,resid heating,biomass,wood furnace,1975$/GJ,5.231,5.2048,5.26862,5.27664,5.07287,4.83918,5.132460054,5.157460054
Enhanced Ambition,AR,resid heating,coal,coal furnace,1975$/GJ,1.93376,1.8013,2.08382,2.21917,2.18257,2.15714,2.156681456,2.166881456
Enhanced Ambition,AR,resid heating,electricity,electric furnace,1975$/GJ,15.3459,13.6899,13.6037,12.1448,8.02732,7.85015,8.29003,8.84766
Enhanced Ambition,AR,resid heating,electricity,electric heat pump,1975$/GJ,6.72827,6.00221,5.96441,4.49807,2.97308,2.90746,2.99859,3.20029
Enhanced Ambition,AR,resid heating,gas,gas furnace,1975$/GJ,2.82837,4.19662,4.20807,2.9741,2.62354,3.00962,2.661349756,2.441119756
Enhanced Ambition,AR,resid heating,gas,gas furnace hi-eff,1975$/GJ,2.25115,3.34017,3.34928,2.42784,2.14166,2.45683,2.172534495,1.992744495
Enhanced Ambition,AR,resid heating,refined liquids,fuel furnace,1975$/GJ,4.07784,4.34673,7.42302,7.42034,5.09796,6.40507,5.659033244,6.402833244
Enhanced Ambition,AR,resid heating,refined liquids,fuel furnace hi-eff,1975$/GJ,3.36317,3.58493,6.12208,6.34936,4.36217,5.48063,4.842258652,5.478718652
Enhanced Ambition,AR,resid hot water,electricity,electric heat pump water heater,1975$/GJ,7.59621,6.7765,6.73382,5.22754,3.45524,3.37898,3.34985,3.57518
Enhanced Ambition,AR,resid hot water,electricity,electric resistance water heater,1975$/GJ,16.9938,15.16,15.0645,13.3593,8.83006,8.63517,9.11904,9.73243
Enhanced Ambition,AR,resid hot water,electricity,electric resistance water heater hi-eff,1975$/GJ,15.992,14.2663,14.1765,12.6562,8.27818,8.09547,8.5491,9.12415
Enhanced Ambition,AR,resid hot water,gas,gas water heater,1975$/GJ,3.7392,5.54807,5.56321,3.83755,3.38521,3.88338,3.433996459,3.149826459
Enhanced Ambition,AR,resid hot water,gas,gas water heater hi-eff,1975$/GJ,2.6904,3.99191,4.0028,2.90156,2.55955,2.93621,2.596441713,2.381571713
Enhanced Ambition,AR,resid hot water,refined liquids,fuel water heater,1975$/GJ,5.52927,5.89387,10.0651,9.93368,6.82469,8.57453,7.575797085,8.571537085
Enhanced Ambition,AR,resid hot water,refined liquids,fuel water heater hi-eff,1975$/GJ,3.97838,4.24071,7.24197,7.51083,5.16013,6.48318,5.728041942,6.480921942
Enhanced Ambition,AZ,resid heating,biomass,wood furnace,1975$/GJ,5.231,5.2048,5.26862,5.27664,5.07287,4.83918,5.132460054,5.157460054
Enhanced Ambition,AZ,resid heating,coal,coal furnace,1975$/GJ,1.17701,1.04455,1.32707,1.46242,1.42582,1.40039,1.399931456,1.410131456
Enhanced Ambition,AZ,resid heating,electricity,electric furnace,1975$/GJ,14.1668,12.2438,12.1592,11.2535,7.54346,6.93013,7.62822,8.07535
Enhanced Ambition,AZ,resid heating,electricity,electric heat pump,1975$/GJ,6.21131,5.36818,5.33109,4.16797,2.79387,2.56671,2.7592,2.92093
Enhanced Ambition,AZ,resid heating,gas,gas furnace,1975$/GJ,2.85811,4.22636,4.23781,3.0031,2.65254,3.03862,2.690349756,2.470119756
Enhanced Ambition,AZ,resid heating,gas,gas furnace hi-eff,1975$/GJ,2.27482,3.36384,3.37295,2.45151,2.16534,2.4805,2.196204495,2.016424495
Enhanced Ambition,AZ,resid heating,refined liquids,fuel furnace,1975$/GJ,4.28884,4.55773,7.63402,7.62371,5.30133,6.60845,5.862403244,6.606213244
Enhanced Ambition,AZ,resid heating,refined liquids,fuel furnace hi-eff,1975$/GJ,3.53719,3.75895,6.2961,6.52338,4.53619,5.65465,5.016288652,5.652738652
Enhanced Ambition,AZ,resid hot water,electricity,electric heat pump water heater,1975$/GJ,7.01257,6.06067,6.0188,4.84391,3.24697,2.98297,3.08242,3.2631
Enhanced Ambition,AZ,resid hot water,electricity,electric resistance water heater,1975$/GJ,15.6881,13.5585,13.4649,12.3789,8.29781,7.62314,8.39104,8.88288
Enhanced Ambition,AZ,resid hot water,electricity,electric resistance water heater hi-eff,1975$/GJ,14.7633,12.7593,12.6712,11.7274,7.77919,7.14669,7.8666,8.3277
Enhanced Ambition,AZ,resid hot water,gas,gas water heater,1975$/GJ,3.77852,5.5874,5.60253,3.87497,3.42263,3.92079,3.471416459,3.187246459
Enhanced Ambition,AZ,resid hot water,gas,gas water heater hi-eff,1975$/GJ,2.71869,4.0202,4.03109,2.92986,2.58784,2.9645,2.624731713,2.409871713
Enhanced Ambition,AZ,resid hot water,refined liquids,fuel water heater,1975$/GJ,5.81538,6.17997,10.3512,10.2059,7.09695,8.84679,7.848057085,8.843797085
Enhanced Ambition,AZ,resid hot water,refined liquids,fuel water heater hi-eff,1975$/GJ,4.18423,4.44656,7.44783,7.71669,5.36598,6.68904,5.933891942,6.686771942
Enhanced Ambition,CA,resid heating,biomass,wood furnace,1975$/GJ,5.231,5.2048,5.26862,5.27664,5.07287,4.83918,5.13298,-12.25752
Enhanced Ambition,CA,resid heating,coal,coal furnace,1975$/GJ,2.75276,2.6203,2.90282,3.03817,3.00157,2.97614,2.97599,-7.34951
Enhanced Ambition,CA,resid heating,electricity,electric furnace,1975$/GJ,14.7926,14.2982,14.0353,12.0366,8.36387,7.77256,8.2236,8.54792
Enhanced Ambition,CA,resid heating,electricity,electric heat pump,1975$/GJ,6.4857,6.26891,6.15366,4.45801,3.09773,2.87872,2.97456,3.09187
Enhanced Ambition,CA,resid heating,gas,gas furnace,1975$/GJ,3.68529,5.05354,5.06499,3.8096,3.45904,3.84512,3.49693,0.58866
Enhanced Ambition,CA,resid heating,gas,gas furnace hi-eff,1975$/GJ,2.93319,4.02221,4.03132,3.10988,2.8237,3.13887,2.85464,0.48053
Enhanced Ambition,CA,resid heating,refined liquids,fuel furnace,1975$/GJ,5.65784,5.92673,9.00302,8.94323,6.62085,7.92796,7.18203,4.34968
Enhanced Ambition,CA,resid heating,refined liquids,fuel furnace hi-eff,1975$/GJ,4.66626,4.88802,7.42517,7.65246,5.66526,6.78372,6.14545,3.72189
Enhanced Ambition,CA,resid hot water,electricity,electric heat pump water heater,1975$/GJ,7.32235,7.0776,6.94748,5.18098,3.6001,3.34558,3.32301,3.45406
Enhanced Ambition,CA,resid hot water,electricity,electric resistance water heater,1975$/GJ,16.3811,15.8336,15.5425,13.2403,9.20026,8.54981,9.04596,9.40272
