scenario,region,sector,output,technology,vintage,Units,1990,2005,2010,2015,2020,2025,2030,2035
Current Policies,AK,resid heating,resid heating,coal furnace,1990,EJ,0.00162644,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,coal furnace,2005,EJ,0,0.000213521,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,1990,EJ,0.00217958,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,2005,EJ,0,0.00135452,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,2010,EJ,0,0,0.00182468,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,2015,EJ,0,0,0,0.0022276,0.00191926,0.00171946,0.0014431,0.0011138
Current Policies,AK,resid heating,resid heating,electric furnace,2020,EJ,0,0,0,0,1.85E-05,1.70E-05,1.52E-05,1.18E-05
Current Policies,AK,resid heating,resid heating,electric furnace,2025,EJ,0,0,0,0,0,1.05E-06,9.68E-07,8.61E-07
Current Policies,AK,resid heating,resid heating,electric furnace,2030,EJ,0,0,0,0,0,0,1.75E-06,1.61E-06
Current Policies,AK,resid heating,resid heating,electric furnace,2035,EJ,0,0,0,0,0,0,0,3.44E-05
Current Policies,AK,resid heating,resid heating,electric furnace,2040,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,2045,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric furnace,2050,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,1990,EJ,0.00156998,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,2005,EJ,0,0.00097546,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,2010,EJ,0,0,0.00131416,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,2015,EJ,0,0,0,0.00189943,0.00163652,0.00146615,0.0012305,0.000949717
Current Policies,AK,resid heating,resid heating,electric heat pump,2020,EJ,0,0,0,0,0.000876913,0.000807367,0.000718089,0.000559289
Current Policies,AK,resid heating,resid heating,electric heat pump,2025,EJ,0,0,0,0,0,0.00257922,0.00237467,0.00211208
Current Policies,AK,resid heating,resid heating,electric heat pump,2030,EJ,0,0,0,0,0,0,0.00339535,0.00312607
Current Policies,AK,resid heating,resid heating,electric heat pump,2035,EJ,0,0,0,0,0,0,0,0.00256472
Current Policies,AK,resid heating,resid heating,electric heat pump,2040,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,2045,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,electric heat pump,2050,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,1990,EJ,0.00624975,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,2005,EJ,0,0.00614658,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,2010,EJ,0,0,0.00516195,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,2015,EJ,0,0,0,0.00314321,0.00270814,0.0024262,0.00203625,0.0015716
Current Policies,AK,resid heating,resid heating,fuel furnace,2020,EJ,0,0,0,0,5.58E-05,5.14E-05,4.57E-05,3.56E-05
Current Policies,AK,resid heating,resid heating,fuel furnace,2025,EJ,0,0,0,0,0,1.46E-05,1.34E-05,1.19E-05
Current Policies,AK,resid heating,resid heating,fuel furnace,2030,EJ,0,0,0,0,0,0,2.05E-05,1.88E-05
Current Policies,AK,resid heating,resid heating,fuel furnace,2035,EJ,0,0,0,0,0,0,0,0.000106804
Current Policies,AK,resid heating,resid heating,fuel furnace,2040,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,2045,EJ,0,0,0,0,0,0,0,0
Current Policies,AK,resid heating,resid heating,fuel furnace,2050,EJ,0,0,0,0,0,0,0,0
